"ASSET","BANKS","DEP","EQNM","ID","NETINC","STNAME","YEAR"
39012290,68,33955614,4038949,"CB_2020_ND",525324,"North Dakota","2020"
82856500,155,69916427,8809040,"CB_2020_NE",1023578,"Nebraska","2020"
2833301,4,2349457,347210,"CB_2020_NH",23091,"New Hampshire","2020"
135694477,31,104461624,14728919,"CB_2020_NJ",1220252,"New Jersey","2020"
13607929,31,11635860,1393093,"CB_2020_NM",184792,"New Mexico","2020"
37163131,15,29618127,5537344,"CB_2020_NV",935451,"Nevada","2020"
1240909126,91,1048104164,123019632,"CB_2020_NY",7900121,"New York","2020"
4158435347,134,3182420005,387870279,"CB_2020_OH",30979680,"Ohio","2020"
129847611,188,106464338,14008630,"CB_2020_OK",1481405,"Oklahoma","2020"
35646356,14,30280079,3576616,"CB_2020_OR",-1424653,"Oregon","2020"
86995482,7,76060145,8072662,"CB_2020_OT",692730,"Other Areas","2020"
235016191,90,190925523,25539286,"CB_2020_PA",1824305,"Pennsylvania","2020"
83764445,3,73165150,7783634,"CB_2020_PR",675772,"Puerto Rico","2020"
0,0,0,0,"CB_2020_PW",0,"Palau","2020"
192404207,4,157310271,23076645,"CB_2020_RI",1153301,"Rhode Island","2020"
21679302,33,18629653,2162439,"CB_2020_SC",194681,"South Carolina","2020"
3510921574,57,2842009873,341279905,"CB_2020_SD",12411594,"South Dakota","2020"
198175674,123,167121772,22171904,"CB_2020_TN",2054933,"Tennessee","2020"
512358656,383,428566346,58082971,"CB_2020_TX",5240120,"Texas","2020"
20403826972,4372,16608162534,2082026076,"CB_2020_US",135773067,"United States","2020"
20490822454,4379,16684222679,2090098738,"CB_2020_USA",136465797,"United States & Other Areas","2020"
753341633,40,623243906,74828837,"CB_2020_UT",12621705,"Utah","2020"
785999278,66,624576659,98130857,"CB_2020_VA",2894912,"Virginia","2020"
289328,1,254540,32637,"CB_2020_VI",4809,"Virgin Islands Of The U.S.","2020"
3600221,6,3161432,317098,"CB_2020_VT",38395,"Vermont","2020"
90818163,32,75276204,10188507,"CB_2020_WA",790937,"Washington","2020"
118961927,155,97888703,13665935,"CB_2020_WI",1335532,"Wisconsin","2020"
38964574,44,31762664,5143199,"CB_2020_WV",400770,"West Virginia","2020"
10364324,28,9165450,1051090,"CB_2020_WY",123229,"Wyoming","2020"
6329792,5,4579489,820270,"CB_2019_AK",85359,"Alaska","2019"
260446687,106,210765136,33830329,"CB_2019_AL",2416555,"Alabama","2019"
112764265,86,89743218,16745476,"CB_2019_AR",1623727,"Arkansas","2019"
0,0,0,0,"CB_2019_AS",0,"American Samoa","2019"
31210017,14,26842113,3494452,"CB_2019_AZ",554984,"Arizona","2019"
843934348,137,669626186,98806753,"CB_2019_CA",7474764,"California","2019"
57160356,67,49481850,5799771,"CB_2019_CO",778074,"Colorado","2019"
95113954,11,73113399,11559706,"CB_2019_CT",1109807,"Connecticut","2019"
1419738,4,1205937,123212,"CB_2019_DC",8165,"District Of Columbia","2019"
993520912,18,760351188,118971120,"CB_2019_DE",11429275,"Delaware","2019"
159637990,100,128118987,17700104,"CB_2019_FL",1851720,"Florida","2019"
171503,1,144323,26037,"CB_2019_FM",2667,"Federated States of Micronesia","2019"
145515629,150,120589701,18022706,"CB_2019_GA",1860773,"Georgia","2019"
2279890,2,2014855,219210,"CB_2019_GU",17654,"Guam","2019"
45675189,6,38679575,4566072,"CB_2019_HI",588821,"Hawaii","2019"
87522209,270,71708980,10161355,"CB_2019_IA",1128741,"Iowa","2019"
5708568,10,4811265,682745,"CB_2019_ID",76117,"Idaho","2019"
499056729,363,405298500,54731865,"CB_2019_IL",5259948,"Illinois","2019"
102159383,80,80976284,12579935,"CB_2019_IN",1307778,"Indiana","2019"
65123421,219,53472477,7622289,"CB_2019_KS",775149,"Kansas","2019"
59404084,131,48000324,6949600,"CB_2019_KY",715900,"Kentucky","2019"
77633936,98,63943784,9727480,"CB_2019_LA",927632,"Louisiana","2019"
309533436,18,241875046,33571125,"CB_2019_MA",2976674,"Massachusetts","2019"
37963643,28,30714214,4937572,"CB_2019_MD",471152,"Maryland","2019"
12372817,6,9799731,1388516,"CB_2019_ME",143152,"Maine","2019"
0,0,0,0,"CB_2019_MH",0,"Marshall Islands","2019"
41955448,83,33633482,4617839,"CB_2019_MI",551171,"Michigan","2019"
71139305,268,60304724,8011504,"CB_2019_MN",933017,"Minnesota","2019"
171424684,239,142696953,18108102,"CB_2019_MO",2234681,"Missouri","2019"
0,0,0,0,"CB_2019_MP",0,"Northern Mariana Islands","2019"
110535209,67,88892612,13937090,"CB_2019_MS",1271168,"Mississippi","2019"
41002903,42,32906933,5432070,"CB_2019_MT",634601,"Montana","2019"
2383515137,32,1904233639,283537678,"CB_2019_NC",30912698,"North Carolina","2019"
31916103,72,27643000,3397273,"CB_2019_ND",426670,"North Dakota","2019"
