,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maine,204000,217000,213000,211000,220000,230000,245000,295000,351000,418000,488000,470000,453000,451000,442000,453000,490000,527000,530000,547000,580000,596000,615000,657000,675000,710000,756000,794000,808000,872000,929000,1035387,1120611,1243040,1287735,1437110,1583038,1785347,1985629,2115496,2261379,2451315,2730879,3008695,3221582,3465087,3675956,3890203,4205700,4588011,5194297,6103271,6808843,7754046,8206525,8174369,8827539,8780548,8698843,9505652,9035562,9023950,4921273,5001325,5118289,7733771,8491583,27753986,31242718,33793321,37735077,46130474,70140001,27623413,15990920,17274025,19617077,21676197,6925248,7315942,8565734,9234855,11438960,11996766,12372817,13095526,14083845,16064703
Michigan,1289000,1513000,1541000,1541000,1717000,2027000,2223000,3083000,3872000,4557000,5022000,4826000,5102000,5150000,5437000,6035000,6249000,6874000,7329000,7748000,8394000,8544000,8608000,8940000,9197000,9716000,10259000,11490000,12358000,13915000,15457000,16977201,19107945,21189549,22444045,24206512,26317481,28817540,31333508,32829237,34261871,36914335,41776494,48152432,50201468,53387546,56504414,58949362,63957500,67768517,72811761,78887040,82035067,85071194,91186385,93822147,98798365,100288014,105956221,116582397,118902867,112181734,118829212,117212631,123779951,138988808,163831853,153143345,180809980,176066130,191174408,209933292,143817489,108048931,50966116,49585777,48877126,49632607,41471208,46194077,48768821,52727825,57362721,61257677,41955448,52157199,58216688,57437057
Minnesota,899000,977000,944000,975000,1053000,1128000,1228000,1669000,1981000,2420000,2920000,2835000,3033000,2998000,3002000,3140000,3244000,3467000,3593000,3751000,3773000,3946000,4093000,4432000,4464000,4621000,4960000,5338000,5600000,6189000,6742000,7154648,8134796,9478712,9659197,10478119,12126657,13441326,15488086,16854544,17628146,19619451,21741659,24984889,28411377,31789681,34572130,38820513,44394700,48874943,51942388,56810864,56016254,52220656,51304399,55519114,54907107,59838478,62291538,61785080,70200849,72124155,131876696,147791477,157436050,187086435,107333076,107866972,105089591,60027900,62753161,76029025,99517643,72265116,56425829,55657058,56523783,59004888,59538076,65407074,67644473,68595630,68739202,68555745,71139305,85403809,92483688,93354290
Missouri,1429000,1585000,1518000,1607000,1762000,1862000,2112000,2653000,3067000,3687000,4418000,4198000,4424000,4406000,4471000,4872000,5167000,5382000,5503000,5686000,5837000,6052000,6080000,6475000,6548000,6785000,7186000,7595000,7980000,8874000,9393000,10054048,11168032,12298736,12537173,13338695,14820165,16503150,18238666,19902957,21033694,23132310,26049128,29211061,32485386,34873898,38548331,41482574,43281400,45941735,49046751,53145512,53249887,54819832,58333215,64684638,65356378,67687622,68543873,73050592,80480860,88300676,63417800,79579079,80376745,64510575,71321840,74775062,81542804,86193779,92066957,99412735,106052923,116219444,122530492,113105257,119582358,125234404,128947993,133637353,143999816,150327467,155597790,163623438,171424684,202116923,235015127,232040218
Mississippi,177000,224000,213000,216000,232000,241000,296000,414000,511000,653000,816000,785000,835000,855000,807000,865000,931000,967000,1014000,1033000,1089000,1120000,1165000,1327000,1436000,1472000,1565000,1694000,1854000,2052000,2264000,2465332,2717652,3003795,3222695,3559055,4054697,4791818,5558565,5851540,6449398,7259947,8341357,9440166,10579931,11467350,12770674,13694683,14675300,15689147,17065073,17880195,18262799,19130733,20091749,21410868,22140147,23092903,24419172,25410693,27084166,28521898,34362582,26897183,29514742,34023468,35443171,37243990,39059409,41082293,46972661,49822437,53605650,56325487,57778537,58683484,56769690,59594925,62092075,77533519,83502663,88378771,94220116,102196981,110535209,127095702,161013777,165210108
Montana,148000,154000,152000,155000,166000,178000,201000,279000,338000,425000,521000,554000,585000,604000,614000,611000,647000,690000,701000,727000,747000,778000,809000,874000,874000,906000,945000,1018000,1082000,1142000,1232000,1311842,1425432,1555139,1661805,1847696,2097324,2421609,2711935,2968265,3319545,3569264,4005766,4457006,4889735,5317193,5732066,6207417,6881000,7138867,7186194,7251185,7276825,7074567,7045578,7330887,7548286,7721777,7930540,7846512,8193619,8670403,9029184,9881934,10137806,10944759,13944996,13780728,13254417,14368508,15630552,16748270,17269521,18739820,20780728,21672583,21942497,26078386,26361203,28380892,29602562,30260215,34305323,37258662,41002903,51350374,63415053,77129222
North Carolina,409000,463000,457000,486000,556000,610000,766000,1026000,1198000,1607000,1891000,1936000,1969000,1929000,1889000,2031000,2263000,2379000,2406000,2523000,2661000,2727000,2710000,2993000,3090000,3299000,3606000,3843000,4028000,4601000,5041000,5600034,6367959,7201050,7537271,8407117,9813055,11813959,13929701,14217727,15162609,15867202,17323545,20555591,23525687,25554563,29131746,32452218,36658500,41125571,48669488,57828407,62597049,66264299,75549059,80244711,79608864,88369496,103972788,117563539,180504087,191424445,433190038,665755758,936934891,981789707,956109000,1000784032,1095395666,1295542856,1700525360,1905752176,2176257295,2340434538,2219462679,1719427008,1714023674,1710267909,1670115652,1819753551,1916881368,1977000204,2030443185,2065810282,2383515137,2846408574,3149431519,3119524117
North Dakota,83000,81000,79000,77000,86000,95000,124000,192000,257000,334000,428000,468000,526000,526000,496000,492000,520000,530000,529000,542000,537000,577000,629000,699000,708000,715000,740000,842000,904000,965000,1044000,1123565,1232283,1378090,1465473,1581190,1782379,1976865,2273540,2527758,2924708,3135917,3476355,3857935,4230149,4627908,5225111,5783955,6355700,6624649,6854969,6931873,6990541,6904558,7011830,7550920,7688710,7898637,8120794,8313593,8034439,8544440,8938048,10833790,11577911,17603356,18699094,18558482,19780067,14381189,15630198,17251807,19137543,20599677,21850491,23174009,25463718,27899711,23066755,22447841,23628972,24816476,26148359,29107052,31916103,39012290,43439859,48458834
Nebraska,335000,362000,337000,337000,365000,391000,431000,665000,857000,1010000,1310000,1287000,1347000,1326000,1305000,1422000,1506000,1588000,1626000,1636000,1603000,1604000,1570000,1785000,1750000,1834000,1955000,2100000,2257000,2436000,2564000,2760119,3113712,3439938,3748325,4045434,4696814,5324208,6250774,6734533,7192546,7701682,8567895,9550346,10501266,10501765,12899108,13965090,14651200,15599544,16196690,16646755,16804283,17470307,18556848,20182067,21405175,22730255,24133335,24339888,26687927,27763637,25855130,27968421,28533699,30099804,30881799,31969699,30205812,30547322,32445972,34984767,37144572,40438142,41005674,48068471,50885939,55411560,57251709,61312346,64791658,67389604,65011236,68443688,73253574,82856500,91697332,97541353
New Hampshire,85000,94000,92000,96000,101000,106000,118000,137000,171000,205000,239000,232000,234000,231000,229000,251000,268000,275000,294000,303000,330000,345000,359000,392000,443000,462000,499000,533000,566000,599000,658000,732562,818464,913371,963649,1195369,1340038,1475300,1629143,1708712,1885739,2110409,2433862,2711194,3023158,3297954,3616092,3985617,4760600,5440059,6516539,7923448,9120625,10457209,10418994,10032160,8464940,7280517,7366496,7568485,10060707,10723601,11686947,16190828,22046163,22352050,25050364,17885398,17047840,17539881,4186748,3855569,3853157,2294113,2568428,2784423,2864026,2681265,2922581,2147034,2278097,2506519,2694520,2574314,2187852,2833301,3302281,3388832
