,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maryland,502000,569000,526000,572000,659000,739000,830000,979000,1228000,1510000,1643000,1482000,1498000,1445000,1502000,1582000,1714000,1812000,1817000,1904000,1968000,2077000,2083000,2184000,2199000,2351000,2529000,2679000,2884000,3221000,3469000,3702941,4102485,4493565,4655442,5209253,5940883,6847964,7535262,8011894,8734945,9472695,10618049,11576093,12989067,13772275,14738427,15667414,17834100,21362142,25609655,30004222,34107943,37206104,39840903,44956627,43982457,42711564,40730139,67868447,53844196,30228582,26926505,33537716,34436480,35614689,37031142,37161443,25113212,27348764,31049603,32917749,22122242,21472475,18921026,18792119,20191072,21357389,20992871,22155801,24158069,26538599,28365674,32888024,30714214,36804007,44235822,45039471
Maine,173000,186000,182000,179000,189000,199000,214000,264000,319000,385000,453000,432000,415000,412000,399000,409000,445000,478000,478000,494000,525000,538000,554000,593000,603000,629000,667000,703000,708000,769000,817000,911259,990529,1086457,1123888,1254314,1378844,1576548,1743860,1825104,1978571,2156771,2391136,2591264,2748345,2895397,3000399,3215429,3548900,3910880,4368460,5221063,5761477,6431325,6977953,6890602,7388974,7133720,6838756,6880491,6718040,6457861,3719775,4034535,3837825,5447225,5350585,19124582,21639313,23077547,24591250,31899266,48357267,22957705,9622436,12079888,15830578,18064469,4978110,5199750,6248074,6826545,8485365,9357152,9799731,10613816,11829284,13410121
Michigan,1166000,1384000,1410000,1404000,1572000,1871000,2057000,2911000,3687000,4354000,4783000,4558000,4822000,4847000,5107000,5673000,5862000,6455000,6855000,7206000,7797000,7895000,7901000,8172000,8386000,8838000,9327000,10435000,11165000,12664000,14102000,15431194,17383298,19220894,19185307,20792176,23155118,25434932,26922946,28101636,29447566,31755790,36093742,40575597,41231946,43358564,46095885,48203827,52466900,56031451,60133516,64701127,67302440,71941700,74811009,76884164,78659130,80707123,81558905,87164795,87873035,84169685,85306945,87006144,88358651,98033592,107887196,97134967,126449877,127461859,139971611,151248931,105587656,81323868,40996463,41339037,40847150,41345304,35086580,38265715,40262862,42525011,45441290,48279995,33633482,42495889,48258506,47652534
Minnesota,800000,879000,842000,869000,945000,1018000,1110000,1549000,1851000,2278000,2766000,2665000,2855000,2805000,2795000,2919000,3007000,3212000,3321000,3462000,3461000,3616000,3739000,4042000,4032000,4177000,4495000,4814000,5040000,5611000,6045000,6462702,7350262,8542653,8325173,9138880,10537041,11449343,12656855,13887051,14738504,16210337,18028085,20516855,22926725,25462587,27415220,30028186,33946100,37262585,39235024,41223875,42382246,41251682,40898693,45387883,45029652,46240478,47912266,45867559,49508439,53851574,97920152,103667478,105583165,122633154,76716371,81599101,74322281,46557502,49783604,57729315,59563072,54818679,46856041,46597229,47936105,50351557,50771443,55053711,56944263,57993111,58584352,58341667,60304724,73389571,81017551,80271583
Missouri,1295000,1447000,1377000,1463000,1611000,1708000,1953000,2488000,2891000,3493000,4207000,3965000,4176000,4145000,4187000,4563000,4831000,5021000,5118000,5269000,5394000,5571000,5573000,5933000,5958000,6150000,6523000,6861000,7155000,7992000,8402000,8965274,10010725,10919833,10848503,11456251,12682097,13973493,15041695,16158780,17259643,19012207,21286448,23492794,25841752,27386333,29737803,31946794,34958000,38011257,40244556,43936428,44918058,46307121,48398920,54287489,54384389,55925338,55691422,58624434,64075922,70564134,53518433,61962778,61749325,52379343,57238153,59058916,63726756,67224374,72699135,78508090,83753193,91000141,98566441,92446869,98757627,104143962,107730685,109902798,118825211,125247988,130473643,136579157,142696953,170256289,200976744,199780297
Mississippi,154000,199000,188000,190000,205000,214000,268000,384000,480000,620000,779000,743000,790000,808000,757000,809000,871000,903000,944000,956000,1008000,1034000,1072000,1223000,1328000,1351000,1434000,1530000,1667000,1864000,2060000,2220867,2435295,2697602,2862719,3160964,3622380,4252125,4915834,5144397,5653988,6403979,7350799,8314025,9197555,9796941,10806115,11571322,12485900,13396371,14393475,15109761,15830682,16511145,17219752,18501852,19068304,19699851,20493635,21153457,22262510,23390853,27849087,21580317,22801164,26434587,28172918,29668577,30819745,32519618,37648598,40098640,41518374,41761317,45763604,47779150,46710946,49215472,51345383,63778711,67749311,72027634,76142631,84224683,88892612,106746536,137050286,136505080
Montana,133000,138000,136000,139000,150000,161000,184000,262000,319000,405000,499000,531000,560000,577000,586000,582000,615000,654000,663000,687000,702000,730000,757000,813000,806000,829000,864000,926000,981000,1039000,1118000,1189123,1292391,1400248,1485554,1653294,1868781,2157335,2396192,2616725,2910524,3203247,3600215,3955345,4321141,4622429,4923387,5291468,5713200,6095593,6139465,6125298,6207987,6130695,6146821,6323857,6548939,6712909,6830867,6665623,6957811,7293271,7481432,8176163,8176361,8835279,11285963,11029860,10382188,11161157,12281463,12971455,13332067,14155106,16232499,16871381,17149491,20506314,20813647,22872481,23654490,24491997,27743063,29865636,32906933,42077664,53252288,61611307
North Carolina,361000,412000,403000,431000,499000,549000,700000,958000,1125000,1528000,1798000,1827000,1851000,1801000,1745000,1872000,2088000,2183000,2195000,2302000,2422000,2463000,2434000,2686000,2764000,2889000,3176000,3345000,3520000,4049000,4439000,4921763,5567028,6290542,6437944,7221666,8317294,10075609,11644852,11894603,12698816,13086229,14418828,16973160,18864629,20193143,22051576,24446212,28242800,31226156,34745756,40948248,43913724,48527235,52581381,58361327,59672962,61226641,70292459,78487944,110787803,121378174,270957373,414521412,603989186,645460259,651360138,673894888,742502235,894983336,1123341062,1252753291,1400900037,1545369744,1540835128,1215866900,1275822739,1303772927,1296364075,1402721702,1508150986,1571860891,1603157904,1679642774,1904233639,2377653796,2661926742,2596954787
North Dakota,70000,70000,68000,66000,75000,84000,113000,180000,244000,319000,411000,449000,505000,502000,470000,463000,488000,496000,492000,502000,493000,532000,579000,644000,648000,650000,672000,766000,820000,878000,947000,1018598,1119487,1254887,1326363,1422961,1603816,1790093,2038905,2234538,2611619,2824394,3143633,3456488,3748823,4087793,4575926,5039724,5511700,5732694,6004582,6082420,6110060,6109953,6216371,6689787,6808310,7004086,7102154,7098703,6939798,7280113,7559333,8122262,8401005,13261413,13410587,13710942,13568271,8809518,9483287,10415975,11527201,12620128,13919544,14938931,16695643,18700544,20029460,19455794,20370841,21505832,22689135,25131214,27643000,33955614,38348502,42392017
Nebraska,300000,326000,300000,299000,326000,350000,388000,621000,809000,958000,1252000,1221000,1278000,1248000,1226000,1335000,1407000,1485000,1515000,1518000,1471000,1473000,1426000,1626000,1566000,1652000,1758000,1871000,2008000,2181000,2280000,2459673,2792866,3093413,3323418,3606325,4130543,4657217,5390050,5766599,6250829,6718439,7394813,8192532,8961558,9582504,10486900,11428617,12344000,13279558,13754665,14466549,14530981,15072604,16072850,17633597,18582983,19615299,20879241,20658890,22557439,23258704,21606106,23041044,23001805,23679545,24667181,25201219,23887417,24191973,25542282,27431439,29384441,32404495,33459047,36786758,39742912,44246987,44668347,47212278,49661188,51902394,53013525,56271726,59958571,69916427,78842040,81249527
New Hampshire,69000,78000,76000,79000,84000,90000,101000,120000,153000,186000,219000,210000,211000,207000,205000,225000,241000,247000,263000,270000,296000,309000,321000,350000,390000,403000,435000,465000,489000,518000,574000,638865,708996,797392,824239,1023652,1157328,1288344,1412357,1485455,1638839,1881128,2163701,2394142,2644843,2890175,3112953,3459228,4130500,4681276,5672817,6874168,7598345,8507551,8556420,8326636,6924052,6007269,5842769,5773167,7627137,8997307,8534256,11136556,15461969,16430882,19152877,13745028,12745518,12982602,3354125,3034228,2955500,1744804,2090207,2236212,2333257,2160041,2407496,1805736,1915840,2154398,2321545,2180836,1797043,2349457,2780229,2804387
