"BRANCHES","ID","STNAME","TOTAL","YEAR"
1295,"CB_2020_MN","Minnesota",264,"2020"
1940,"CB_2020_MO","Missouri",231,"2020"
8,"CB_2020_MP","Northern Mariana Islands",0,"2020"
1065,"CB_2020_MS","Mississippi",65,"2020"
326,"CB_2020_MT","Montana",39,"2020"
2125,"CB_2020_NC","North Carolina",32,"2020"
315,"CB_2020_ND","North Dakota",68,"2020"
874,"CB_2020_NE","Nebraska",155,"2020"
227,"CB_2020_NH","New Hampshire",4,"2020"
1939,"CB_2020_NJ","New Jersey",31,"2020"
363,"CB_2020_NM","New Mexico",31,"2020"
437,"CB_2020_NV","Nevada",15,"2020"
3635,"CB_2020_NY","New York",91,"2020"
2930,"CB_2020_OH","Ohio",134,"2020"
1091,"CB_2020_OK","Oklahoma",188,"2020"
797,"CB_2020_OR","Oregon",14,"2020"
351,"CB_2020_OT","Other Areas",7,"2020"
3191,"CB_2020_PA","Pennsylvania",90,"2020"
294,"CB_2020_PR","Puerto Rico",3,"2020"
2,"CB_2020_PW","Palau",0,"2020"
170,"CB_2020_RI","Rhode Island",4,"2020"
1131,"CB_2020_SC","South Carolina",33,"2020"
387,"CB_2020_SD","South Dakota",57,"2020"
1902,"CB_2020_TN","Tennessee",123,"2020"
5938,"CB_2020_TX","Texas",383,"2020"
72756,"CB_2020_US","United States",4372,"2020"
73107,"CB_2020_USA","United States & Other Areas",4379,"2020"
465,"CB_2020_UT","Utah",40,"2020"
2077,"CB_2020_VA","Virginia",66,"2020"
21,"CB_2020_VI","Virgin Islands Of The U.S.",1,"2020"
138,"CB_2020_VT","Vermont",6,"2020"
1390,"CB_2020_WA","Washington",32,"2020"
1534,"CB_2020_WI","Wisconsin",155,"2020"
533,"CB_2020_WV","West Virginia",44,"2020"
182,"CB_2020_WY","Wyoming",28,"2020"
112,"CB_2019_AK","Alaska",5,"2019"
1363,"CB_2019_AL","Alabama",106,"2019"
1286,"CB_2019_AR","Arkansas",86,"2019"
3,"CB_2019_AS","American Samoa",0,"2019"
1082,"CB_2019_AZ","Arizona",14,"2019"
6434,"CB_2019_CA","California",137,"2019"
1340,"CB_2019_CO","Colorado",67,"2019"
579,"CB_2019_CT","Connecticut",11,"2019"
212,"CB_2019_DC","District Of Columbia",4,"2019"
195,"CB_2019_DE","Delaware",18,"2019"
4565,"CB_2019_FL","Florida",100,"2019"
7,"CB_2019_FM","Federated States of Micronesia",1,"2019"
2114,"CB_2019_GA","Georgia",150,"2019"
17,"CB_2019_GU","Guam",2,"2019"
179,"CB_2019_HI","Hawaii",6,"2019"
1215,"CB_2019_IA","Iowa",270,"2019"
443,"CB_2019_ID","Idaho",10,"2019"
3612,"CB_2019_IL","Illinois",363,"2019"
1698,"CB_2019_IN","Indiana",80,"2019"
1124,"CB_2019_KS","Kansas",219,"2019"
1457,"CB_2019_KY","Kentucky",131,"2019"
1260,"CB_2019_LA","Louisiana",98,"2019"
1038,"CB_2019_MA","Massachusetts",18,"2019"
1361,"CB_2019_MD","Maryland",28,"2019"
215,"CB_2019_ME","Maine",6,"2019"
1,"CB_2019_MH","Marshall Islands",0,"2019"
2336,"CB_2019_MI","Michigan",83,"2019"
1307,"CB_2019_MN","Minnesota",268,"2019"
1986,"CB_2019_MO","Missouri",239,"2019"
8,"CB_2019_MP","Northern Mariana Islands",0,"2019"
1090,"CB_2019_MS","Mississippi",67,"2019"
331,"CB_2019_MT","Montana",42,"2019"
2157,"CB_2019_NC","North Carolina",32,"2019"
315,"CB_2019_ND","North Dakota",72,"2019"
884,"CB_2019_NE","Nebraska",160,"2019"
228,"CB_2019_NH","New Hampshire",4,"2019"
2043,"CB_2019_NJ","New Jersey",34,"2019"
381,"CB_2019_NM","New Mexico",31,"2019"
458,"CB_2019_NV","Nevada",15,"2019"
3818,"CB_2019_NY","New York",98,"2019"
3058,"CB_2019_OH","Ohio",136,"2019"
1093,"CB_2019_OK","Oklahoma",197,"2019"
886,"CB_2019_OR","Oregon",14,"2019"
355,"CB_2019_OT","Other Areas",9,"2019"
3334,"CB_2019_PA","Pennsylvania",92,"2019"
296,"CB_2019_PR","Puerto Rico",5,"2019"
2,"CB_2019_PW","Palau",0,"2019"
172,"CB_2019_RI","Rhode Island",5,"2019"
1134,"CB_2019_SC","South Carolina",35,"2019"
380,"CB_2019_SD","South Dakota",58,"2019"
1906,"CB_2019_TN","Tennessee",130,"2019"
5970,"CB_2019_TX","Texas",393,"2019"
74721,"CB_2019_US","United States",4517,"2019"
75076,"CB_2019_USA","United States & Other Areas",4526,"2019"
477,"CB_2019_UT","Utah",38,"2019"
2155,"CB_2019_VA","Virginia",69,"2019"
21,"CB_2019_VI","Virgin Islands Of The U.S.",1,"2019"
143,"CB_2019_VT","Vermont",6,"2019"
1453,"CB_2019_WA","Washington",32,"2019"
